iter	Passed	Remaining
465	2566	2941
466	2570	2933
467	2574	2926
468	2581	2922
469	2596	2927
470	2602	2922
471	2605	2914
472	2610	2908
473	2614	2901
474	2622	2898
475	2632	2897
476	2640	2895
477	2649	2893
478	2658	2891
479	2663	2885
480	2667	2878
481	2670	2870
482	2674	2862
483	2680	2857
484	2689	2855
485	2697	2852
486	2706	2850
487	2713	2846
488	2720	2842
489	2725	2836
490	2734	2834
491	2742	2832
492	2751	2829
493	2757	2824
494	2763	2819
495	2768	2813
496	2774	2807
497	2777	2800
498	2782	2794
499	2790	2790
500	2799	2788
501	2807	2784
502	2815	2782
503	2823	2779
504	2830	2774
505	2836	2769
506	2844	2766
507	2852	2763
508	2860	2759
509	2868	2756
510	2875	2751
511	2883	2748
512	2891	2745
513	2897	2739
514	2905	2735
515	2913	2732
516	2921	2729
517	2928	2724
518	2935	2720
519	2940	2714
520	2946	2708
521	2953	2704
522	2961	2701
523	2969	2697
524	2977	2693
525	2984	2689
526	2992	2685
527	2999	2681
528	3006	2677
529	3014	2673
530	3018	2666
531	3022	2659
532	3026	2652
533	3034	2648
534	3042	2644
535	3050	2640
536	3057	2635
537	3062	2629
538	3065	2622
539	3071	2616
540	3078	2611
541	3085	2607
542	3089	2599
543	3094	2594
544	3104	2591
545	3113	2589
546	3117	2581
547	3120	2574
548	3125	2567
549	3128	2559
550	3132	2552
551	3141	2549
552	3144	2542
553	3151	2537
554	3160	2534
555	3169	2530
556	3176	2526
557	3185	2523
558	3189	2516
559	3192	2508
560	3196	2501
561	3205	2497
562	3214	2495
563	3221	2490
564	3229	2486
565	3237	2482
566	3245	2478
567	3253	2474
568	3260	2470
569	3267	2464
570	3275	2460
571	3283	2456
572	3288	2450
573	3291	2442
574	3296	2436
575	3301	2429
576	3304	2422
577	3312	2418
578	3319	2414
579	3327	2409
580	3331	2402
581	3335	2395
582	3341	2389
583	3344	2382
584	3348	2375
585	3355	2370
586	3362	2366
587	3367	2359
588	3370	2352
589	3374	2344
590	3377	2337
591	3381	2330
592	3387	2324
593	3393	2319
594	3400	2314
595	3408	2310
596	3416	2306
597	3426	2303
598	3435	2300
599	3448	2299
600	3455	2294
601	3459	2287
602	3465	2281
603	3469	2274
604	3479	2271
605	3484	2265
606	3488	2258
607	3493	2252
608	3497	2245
609	3500	2238
610	3504	2230
611	3507	2223
612	3515	2219
613	3519	2212
614	3524	2206
615	3531	2201
616	3534	2194
617	3538	2187
618	3541	2180
619	3545	2173
620	3554	2169
621	3563	2165
622	3572	2161
623	3577	2155
624	3583	2150
625	3587	2143
626	3590	2135
627	3593	2128
628	3601	2124
629	3609	2119
630	3613	2112
631	3616	2105
632	3620	2099
633	3628	2094
634	3634	2089
635	3637	2082
636	3641	2075
637	3645	2068
638	3652	2063
639	3660	2058
640	3666	2053
641	3673	2048
642	3681	2044
643	3690	2040
644	3694	2033
645	3698	2026
646	3702	2020
647	3706	2013
648	3712	2007
649	3717	2001
650	3720	1994
651	3724	1987
652	3729	1981
653	3733	1975
654	3740	1969
655	3743	1963
656	3746	1956
657	3754	1951
658	3757	1944
659	3761	1937
660	3766	1931
661	3770	1925
662	3775	1919
663	3779	1912
664	3782	1905
665	3786	1898
666	3790	1892
667	3798	1887
668	3803	1881
669	3806	1874
670	3813	1869
671	3816	1862
672	3819	1856
673	3823	1849
674	3830	1844
675	3838	1839
676	3847	1835
677	3855	1830
678	3867	1828
679	3876	1824
680	3885	1820
681	3889	1813
682	3897	1809
683	3905	1804
684	3912	1799
685	3917	1793
686	3921	1786
687	3929	1782
688	3934	1775
689	3939	1769
690	3945	1764
691	3949	1757
692	3955	1752
693	3962	1747
694	3967	1741
695	3971	1734
696	3976	1728
697	3981	1722
698	3990	1718
699	3994	1712
700	4001	1706
701	4004	1700
702	4008	1693
703	4015	1688
704	4023	1683
705	4031	1679
706	4038	1673
707	4046	1668
708	4054	1664
709	4062	1659
710	4070	1654
711	4077	1649
712	4081	1642
713	4084	1636
714	4088	1629
715	4096	1625
716	4105	1620
717	4112	1615
718	4116	1608
719	4123	1603
720	4127	1596
721	4130	1590
722	4136	1584
723	4144	1580
724	4156	1576
725	4165	1572
726	4173	1567
727	4179	1561
728	4185	1555
729	4193	1550
730	4198	1545
731	4203	1538
732	4209	1533
733	4216	1527
734	4224	1522
735	4231	1517
736	4240	1513
737	4244	1506
738	4251	1501
739	4259	1496
740	4263	1490
741	4271	1485
742	4279	1480
743	4288	1475
744	4297	1470
745	4304	1465
746	4309	1459
747	4317	1454
748	4328	1450
749	4338	1446
750	4348	1441
751	4355	1436
752	4363	1431
753	4371	1426
754	4384	1422
755	4393	1417
756	4403	1413
757	4410	1408
758	4418	1403
759	4422	1396
760	4429	1391
761	4437	1385
762	4445	1380
763	4451	1374
764	4459	1369
765	4466	1364
766	4471	1358
767	4478	1352
768	4484	1347
769	4491	1341
770	4500	1336
771	4504	1330
772	4510	1324
773	4517	1319
774	4526	1314
775	4535	1309
776	4542	1303
777	4547	1297
778	4557	1293
779	4566	1288
780	4573	1282
781	4581	1277
782	4589	1271
783	4597	1266
784	4605	1261
785	4611	1255
786	4617	1249
787	4623	1243
788	4629	1238
789	4634	1231
790	4639	1225
791	4644	1219
792	4650	1213
793	4654	1207
794	4659	1201
795	4668	1196
796	4676	1191
797	4680	1184
798	4685	1178
799	4690	1172
800	4693	1166
801	4697	1159
802	4701	1153
803	4705	1147
804	4709	1140
805	4713	1134
806	4720	1128
807	4727	1123
808	4733	1117
809	4740	1111
810	4747	1106
811	4758	1101
812	4765	1096
813	4775	1091
814	4782	1085
815	4789	1079
816	4796	1074
817	4800	1067
818	4804	1061
819	4808	1055
820	4813	1049
821	4817	1043
822	4822	1037
823	4826	1030
824	4830	1024
825	4834	1018
826	4837	1012
827	4842	1006
828	4848	1000
829	4855	994
830	4859	988
831	4863	982
832	4870	976
833	4877	970
834	4886	965
835	4894	960
836	4898	953
837	4906	948
838	4915	943
839	4922	937
840	4930	932
841	4938	926
842	4942	920
843	4948	914
844	4957	909
845	4963	903
846	4970	897
847	4974	891
848	4980	885
849	4984	879
850	4990	873
851	4999	868
852	5005	862
853	5011	856
854	5019	851
855	5023	845
856	5027	838
857	5032	832
858	5038	827
859	5042	820
860	5046	814
861	5054	809
862	5062	803
863	5068	797
864	5071	791
865	5078	785
866	5086	780
867	5093	774
868	5097	768
869	5101	762
870	5105	756
871	5108	749
872	5114	744
873	5119	738
874	5126	732
875	5131	726
876	5138	720
877	5142	714
878	5146	708
879	5160	703
880	5175	699
881	5184	693
882	5192	687
883	5200	682
884	5210	677
885	5218	671
886	5229	666
887	5236	660
888	5242	654
889	5248	648
890	5251	642
891	5256	636
892	5260	630
893	5266	624
894	5274	618
895	5278	612
896	5281	606
897	5285	600
898	5291	594
899	5300	588
900	5307	583
901	5313	577
902	5318	571
903	5323	565
904	5327	559
905	5332	553
906	5336	547
907	5341	541
908	5346	535
909	5355	529
910	5363	524
911	5372	518
912	5382	512
913	5387	506
914	5391	500
915	5397	494
916	5401	488
917	5408	483
918	5415	477
919	5420	471
920	5425	465
921	5430	459
922	5438	453
923	5443	447
924	5450	441
925	5454	435
926	5462	430
927	5471	424
928	5477	418
929	5482	412
930	5485	406
931	5490	400
932	5494	394
933	5499	388
934	5503	382
935	5507	376
936	5513	370
937	5520	364
938	5531	359
939	5539	353
940	5548	347
941	5553	341
942	5557	335
943	5565	330
944	5570	324
945	5577	318
946	5583	312
947	5588	306
948	5595	300
949	5601	294
950	5607	288
951	5614	283
952	5622	277
953	5629	271
954	5636	265
955	5643	259
956	5648	253
957	5652	247
958	5657	241
959	5660	235
960	5667	230
961	5673	224
962	5679	218
963	5687	212
964	5694	206
965	5706	200
966	5716	195
967	5724	189
968	5730	183
969	5739	177
970	5747	171
971	5753	165
972	5760	159
973	5767	153
974	5775	148
975	5781	142
976	5789	136
977	5796	130
978	5803	124
979	5810	118
980	5817	112
981	5824	106
982	5833	100
983	5841	94
984	5846	89
985	5851	83
986	5860	77
987	5874	71
988	5883	65
989	5891	59
990	5900	53
991	5908	47
992	5917	41
993	5925	35
994	5934	29
995	5942	23
996	5949	17
997	5956	11
998	5964	5
999	5973	0
