iter	MAE
684	3864788.766
685	3864316.674
686	3862976.025
687	3862524.535
688	3861565.266
689	3861369.248
690	3860939.061
691	3860917.134
692	3859626.82
693	3859201.579
694	3858145.688
695	3856925.486
696	3856259.815
697	3855236.427
698	3853984.613
699	3853827.764
700	3852709.893
701	3850975.592
702	3850098.336
703	3848130.895
704	3847156.327
705	3846703.284
706	3846229.177
707	3844267.09
708	3844241.028
709	3843972.121
710	3842517.365
711	3842423.523
712	3841406.463
713	3841329.011
714	3841192.045
715	3838447.521
716	3838225.342
717	3837483.559
718	3836874.175
719	3836860.296
720	3836591.901
721	3836121.479
722	3835905.054
723	3834979.096
724	3834349.955
725	3832351.734
726	3831087.182
727	3830785.211
728	3829088.596
729	3828041.708
730	3827117.737
731	3824842.363
732	3824079.468
733	3823981.247
734	3822307.864
735	3821424.072
736	3820488.261
737	3819967.925
738	3818864.741
739	3817177.886
740	3816026.169
741	3815422.615
742	3815294.761
743	3813951.461
744	3813261.079
745	3811226.109
746	3809897.036
747	3809457.714
748	3809387.67
749	3809315.055
750	3809118.205
751	3808196.423
752	3807194.479
753	3807010.459
754	3806844.773
755	3806512.427
756	3805608.315
757	3805102.849
758	3804971.931
759	3804867.102
760	3804854.773
761	3803998.624
762	3803918.11
763	3803824.523
764	3801611.008
765	3801223.709
766	3800974.994
767	3800920.494
768	3800616.153
769	3800481.434
770	3799757.79
771	3799195.574
772	3797791.564
773	3797598.985
774	3797329.567
775	3797118.799
776	3795884.737
777	3795562.985
778	3795372.56
779	3794866.489
780	3792396.603
781	3792015.752
782	3791537.261
783	3791042.983
784	3790675.98
785	3790047.215
786	3789397.117
787	3788397.255
788	3787976.775
789	3787707.174
790	3787134.701
791	3785316.866
792	3784591.703
793	3784330.663
794	3783980.491
795	3783910.389
796	3782521.949
797	3782034.075
798	3781728.324
799	3780517.75
800	3779993.376
801	3779521.889
802	3778757.774
803	3776574.463
804	3776008.638
805	3775420.709
806	3775121.143
807	3774290.921
808	3771670.466
809	3771332.186
810	3770032.441
811	3769258.533
812	3768473.415
813	3767799.861
814	3766837.94
815	3766783.979
816	3766486.322
817	3766079.186
818	3764941.183
819	3764462.774
820	3763271.577
821	3762681.657
822	3762252.328
823	3762099.012
824	3761824.853
825	3761743.98
826	3761555.707
827	3761345.182
828	3761034.875
829	3760057.464
830	3759527.704
831	3759354.267
832	3759241.257
833	3758616.741
834	3757581.891
835	3757365.415
836	3757081.878
837	3756137.661
838	3755972.108
839	3754869.048
840	3754700.452
841	3753526.549
842	3753214.428
843	3752710.896
844	3752457.197
845	3751950.392
846	3751742.162
847	3751155.736
848	3750458.467
849	3750036.008
850	3749571.296
851	3749554.234
852	3748962.695
853	3748417.261
854	3747335.754
855	3747144.096
856	3746875.084
857	3746321.791
858	3746015.773
859	3744293.485
860	3742692.854
861	3742051.181
862	3741642.245
863	3741133.49
864	3740965.669
865	3740440.621
866	3740099.147
867	3738974.504
868	3738261.988
869	3737608.22
870	3736547.699
871	3736533.838
872	3736234.666
873	3735650.04
874	3735638.951
875	3735152.474
876	3734685.775
877	3734353.031
878	3732586.259
879	3732171.049
880	3731832.96
881	3730900.424
882	3730804.804
883	3730394.153
884	3729726.262
885	3728630.132
886	3725544.861
887	3725226.161
888	3724188.617
889	3723859.705
890	3723811.913
891	3723434.449
892	3723041.403
893	3722099.58
894	3720779.106
895	3720209.52
896	3719213.886
897	3718344.596
898	3718065.829
899	3717241.464
900	3717030.629
901	3717017.453
902	3716878.05
903	3716858.916
904	3716221.215
905	3715751.136
906	3715645.664
907	3715494.645
908	3714902.332
909	3713531.436
910	3713294.277
911	3712698.578
912	3712249.364
913	3711664.966
914	3709818.598
915	3709812.019
916	3709051.83
917	3708826.105
918	3708647.13
919	3708600.403
920	3708082.434
921	3707791.617
922	3707123.911
923	3706248.47
924	3706056.513
925	3705971.421
926	3704055.258
927	3703710.57
928	3702971.935
929	3702741.063
930	3702733.787
931	3702477.207
932	3702318.338
933	3702187.75
934	3701745.805
935	3701341.109
936	3699495.758
937	3699414.117
938	3698811.886
939	3697416.148
940	3696590.554
941	3696467.901
942	3695871.178
943	3695330.251
944	3695301.994
945	3694140.816
946	3693995.277
947	3693937.065
948	3693724.601
949	3692636.748
950	3692441.365
951	3691300.669
952	3689739.334
953	3688280.656
954	3687986.404
955	3687872.387
956	3687561.037
957	3687556.656
958	3686733.201
959	3686717.585
960	3686715.402
961	3685009.557
962	3684710.224
963	3684446.297
964	3684104.974
965	3683872.785
966	3682624.122
967	3682046.702
968	3681567.698
969	3680438.334
970	3680206.107
971	3679823.346
972	3678732.061
973	3676802.28
974	3674309.736
975	3672738.082
976	3672127.017
977	3671620.149
978	3671153.29
979	3668592.897
980	3668361.679
981	3667554.05
982	3666786.391
983	3666631.972
984	3665692.916
985	3665642.235
986	3664045.33
987	3663656.54
988	3663488.646
989	3662324.265
990	3661829.231
991	3661094.715
992	3660354.415
993	3658898.18
994	3658832.167
995	3658510.069
996	3657546.255
997	3657324.586
998	3657212.624
999	3657124.831
